kyc_pan,kyc_aadhar_verified,kyc_gst_returns_last_3y,kyc_gst_turnover,kyc_mcc_code,kyc_company_name,kyc_date_of_incorp,kyc_mca_returns_count,kyc_mca_returns_amount,cibil_credit_health,cibil_credit_mix_ratio,cibil_payment_history_12m,cibil_default_count,cibil_bounce_count,cibil_loans_closed,cibil_consolidated_monthly_emi,cibil_individual_loans_0_emi_amount,cibil_individual_loans_0_tenure_left_months,cibil_individual_loans_1_emi_amount,cibil_individual_loans_1_tenure_left_months,cibil_individual_loans_2_emi_amount,cibil_individual_loans_2_tenure_left_months,cibil_individual_loans_3_emi_amount,cibil_individual_loans_3_tenure_left_months,cibil_credit_age_months,bank_total_outflow,bank_total_inflow,bank_emi_count,bank_aggregated_emi_amount,bank_monthly_salary,bank_income_to_emi_ratio,bank_monthly_inflow_pattern_2025-01,bank_monthly_inflow_pattern_2025-02,bank_monthly_inflow_pattern_2025-03,bank_monthly_inflow_pattern_2025-04,bank_monthly_inflow_pattern_2025-05,bank_monthly_inflow_pattern_2025-06,bank_monthly_inflow_pattern_2025-07,bank_monthly_inflow_pattern_2025-08,bank_monthly_inflow_pattern_2025-09,bank_monthly_inflow_pattern_2025-10,bank_monthly_inflow_pattern_2025-11,bank_monthly_inflow_pattern_2025-12,bank_monthly_inflow_pattern_2024-01,bank_monthly_inflow_pattern_2024-02,bank_monthly_inflow_pattern_2024-03,bank_monthly_inflow_pattern_2024-04,bank_monthly_inflow_pattern_2024-05,bank_monthly_inflow_pattern_2024-06,bank_monthly_inflow_pattern_2024-07,bank_monthly_inflow_pattern_2024-08,bank_monthly_inflow_pattern_2024-09,bank_monthly_inflow_pattern_2024-10,bank_monthly_inflow_pattern_2024-11,bank_monthly_inflow_pattern_2024-12,bank_monthly_inflow_pattern_2023-01,bank_monthly_inflow_pattern_2023-02,bank_monthly_inflow_pattern_2023-03,bank_monthly_inflow_pattern_2023-04,bank_monthly_inflow_pattern_2023-05,bank_monthly_inflow_pattern_2023-06,bank_monthly_inflow_pattern_2023-07,bank_monthly_inflow_pattern_2023-08,bank_monthly_inflow_pattern_2023-09,bank_monthly_inflow_pattern_2023-10,bank_monthly_inflow_pattern_2023-11,bank_monthly_inflow_pattern_2023-12,bank_annual_inflow_outflow_2025,bank_annual_inflow_outflow_2024,bank_annual_inflow_outflow_2023,investments_mutual_fund_value,investments_nps_value,investments_pf_value,investments_equity_value,itr_annual_income,itr_itr_filed,itr_filing_consistency_3y,service_record_employment_years,service_record_job_changes,insurance_insured,insurance_insured_amount,labels_user_behavior_shift,labels_ability_to_default,labels_default_timeframe_months,labels_financially_secure
WVXMW3375E,True,14,0.0,5411,,2020-05-13,0,0.0,752.6,0.63,0.93,0,3,5,23352.93,5976.32,27,6898.85,47.0,,,,,86,3971111.18,4917625.88,2,55174.59,143973.11,0.38,141085.72,153438.93,125357.78,129943.55,162675.54,140396.83,138707.53,134096.69,141309.66,137456.61,138985.29,124899.9,134358.86,120220.53,137954.47,122700.76,119737.92,115268.12,139671.53,140979.45,121049.69,125482.83,123588.01,119592.85,142729.35,154660.27,172320.15,128433.76,118950.4,135319.4,149673.76,118260.04,153665.76,149175.07,147511.83,157967.03,1.254,1.237,1.225,1137462.82,540489.59,999179.37,2009849.75,2126386.77,True,0.75,9.6,2,False,0.0,Promising,Low,36,True
HYACU2788U,True,16,0.0,8021,,2023-10-27,0,0.0,748.2,0.61,0.4,0,3,1,14552.6,15694.26,47,44939.45,40.0,28855.21,53.0,,,17,1519450.88,1878887.52,3,30593.85,51149.94,0.6,61180.1,48639.62,48405.55,41629.17,41352.47,48786.87,57579.83,61056.4,43626.25,46001.23,56260.38,59278.19,58989.87,55783.89,51385.02,42374.81,55022.1,56244.13,44578.11,57041.52,51878.32,57064.32,53300.11,50445.59,49593.36,57079.03,44536.54,58866.07,58649.96,59070.4,49394.62,54526.61,57602.44,51273.29,47216.81,43174.53,1.246,1.282,1.186,339304.35,31351.43,516199.91,241932.82,572140.86,True,0.75,24.5,3,True,5305702.29,Promising,Medium,12,False
BWMDU6401O,True,25,49021342.43,5734,Dugar-Yadav,2019-09-17,12,430542.07,737.9,0.33,0.64,3,10,1,166627.16,16991.95,60,21450.68,21.0,,,,,176,12582035.21,15107688.22,2,145919.96,427277.96,0.34,389651.79,473505.4,510141.54,409056.75,351056.02,401531.02,422444.21,404927.85,393169.65,507172.31,478223.82,342999.02,381199.01,405111.94,383025.82,405951.51,377235.26,448962.21,443870.78,445286.69,379489.29,400081.98,374614.12,445155.47,370563.02,407576.12,411278.81,365015.56,342156.76,459248.9,503171.48,479254.25,463998.92,446656.45,422963.42,461941.08,1.227,1.243,1.14,4358.91,163955.66,553139.43,760809.97,782471.78,True,0.98,1.9,0,True,571448.53,Reactive,High,3,False
MRYLU2538P,True,28,99350236.31,8011,Rajan Ltd,2017-10-23,8,446451.67,800.5,0.61,0.86,0,0,2,188173.56,15591.69,48,43333.2,7.0,35160.82,29.0,35798.49,38.0,96,7160835.56,8566898.92,4,118953.1,244464.67,0.49,230274.33,207729.03,218497.66,212859.08,203203.32,272095.97,288812.06,254006.41,291542.33,197201.7,237959.64,265244.22,246797.45,215431.14,267550.63,235565.48,278540.82,214290.18,253817.46,238335.63,233494.57,230823.48,238720.07,246103.6,201344.89,216082.34,240455.1,277328.48,282564.68,250460.71,237893.13,208269.7,205659.4,215249.44,226115.5,226579.32,1.145,1.213,1.237,4238231.91,300406.4,1485844.96,6329832.69,2026635.85,True,0.79,11.2,2,True,6488964.99,Stable,Medium,12,False
LLLBL7444I,True,19,0.0,5411,,2017-12-29,0,0.0,793.3,0.76,0.91,0,3,5,34085.69,30963.09,11,29551.4,25.0,7257.1,52.0,33233.94,14.0,31,4217620.78,5140533.83,5,32870.4,141676.72,0.23,162052.26,143773.2,113671.95,140040.77,143703.06,164755.57,167314.21,153867.96,169380.9,152948.06,131373.43,139352.8,119925.5,129017.03,128668.57,117561.94,165324.53,133073.62,137275.26,123996.0,132909.07,137891.51,123556.91,166830.28,164515.86,130327.6,125938.5,133100.33,169339.85,150339.75,160798.95,168435.36,152733.36,116146.45,113408.26,157185.2,1.254,1.207,1.195,460962.82,13247.25,1391371.95,1069382.66,2492443.43,True,0.77,1.1,0,True,6925894.92,Promising,Low,36,True
IZFPL6337N,True,26,95874435.9,5411,Kale LLC,2021-06-12,5,535445.91,744.7,0.36,0.78,4,1,3,152748.32,8129.81,23,24460.36,29.0,20382.14,26.0,33324.66,43.0,116,11013933.63,13234129.81,3,246780.84,367233.1,0.67,327564.79,331471.34,372852.47,347554.75,342506.93,360406.92,437766.84,393484.16,380206.25,436038.46,317867.34,406143.42,333375.15,388647.3,386962.71,307126.72,420792.22,329873.4,300841.81,354148.47,404436.33,414779.09,435348.98,339914.28,367880.27,427080.52,403052.38,397975.47,332695.91,323387.76,374434.27,374372.7,311589.83,398951.98,344487.12,308111.53,1.183,1.194,1.228,445566.26,98213.75,731100.19,440916.8,419724.8,True,0.72,16.4,2,True,1819411.14,Reactive,High,6,False
SUAGN5470N,True,9,0.0,5999,,2020-08-03,0,0.0,721.1,0.74,0.42,0,3,0,15821.03,38281.34,45,,,,,,,77,1890392.06,2320598.97,1,29806.98,63506.93,0.47,55774.04,68558.6,72803.15,62983.11,72558.01,67103.89,66892.01,69323.2,53344.67,59245.66,73997.71,67432.04,52832.77,70948.76,66616.02,64488.92,71708.25,75302.99,61036.6,63047.25,70009.28,61224.15,55282.58,71909.3,67328.96,73179.47,51154.28,67868.11,55977.1,53087.3,66534.91,62731.81,59495.39,63309.27,68684.91,56824.5,1.229,1.246,1.208,231487.71,75403.41,322482.09,1199426.13,332664.41,True,0.73,4.8,5,False,0.0,Promising,Medium,12,False
UFTYK7452G,True,31,31760923.0,7011,Lata Inc,2016-04-27,8,33125.72,726.4,0.5,0.43,0,0,1,66125.17,17218.38,46,10236.74,31.0,,,,,158,3829998.37,4538273.99,5,36454.15,130469.35,0.28,106423.99,156320.2,130960.21,105933.45,142526.08,129443.96,115030.52,127773.65,125196.13,118859.98,136603.43,126932.24,134112.9,117822.81,126587.36,107009.79,112621.91,150827.88,143121.95,144593.7,122988.1,147621.37,108823.71,112389.41,131131.03,113780.29,119018.57,142577.58,153739.74,104678.22,113457.57,126869.4,115506.08,139510.6,114164.71,113315.44,1.168,1.184,1.204,305719.12,140257.61,438261.56,242195.78,5805492.95,True,0.9,24.0,0,True,3747102.43,Stable,Medium,12,False
JJVUF5876O,True,5,0.0,5912,,2022-01-11,0,0.0,681.7,0.31,0.56,0,0,3,23613.21,33162.5,16,,,,,,,40,1204658.35,1476377.5,2,23945.1,40419.74,0.59,43593.46,35728.6,45198.31,40139.22,38213.99,35134.33,32510.51,46104.54,35765.52,39189.1,47512.83,32755.59,32354.38,46637.77,41661.49,42454.52,48255.1,42307.58,42768.12,44462.2,40767.73,36261.92,44872.85,37548.11,41907.59,39941.83,37550.45,45437.9,35865.77,46254.5,47845.09,44011.91,42118.23,40755.34,36701.95,45789.19,1.194,1.24,1.243,32273.24,113344.21,337170.31,1409653.59,441466.49,True,0.86,14.3,3,False,0.0,Stable,Medium,12,False
FUKUE9596J,True,2,0.0,8011,,2016-10-18,0,0.0,807.9,0.53,0.98,0,3,4,25593.83,26021.95,31,27064.96,6.0,,,,,86,4102047.36,5074251.68,2,37979.06,139555.66,0.27,142634.04,151018.31,131241.8,131246.55,138153.46,124564.55,140087.68,125724.82,160542.49,153771.76,157917.76,131106.76,116457.22,145480.92,144303.57,134942.96,133743.59,145493.29,137482.36,163805.8,158667.45,119077.06,119193.83,146617.49,154438.74,163540.27,150086.74,127015.59,135410.64,159375.2,116544.3,165934.11,117071.45,114757.72,161258.76,155542.62,1.234,1.254,1.224,1357437.68,609160.99,3612025.67,2913578.69,1843151.74,True,0.79,7.4,1,True,9608520.87,Promising,Low,36,True
SUWPT9457E,True,34,0.0,8011,,2019-07-31,0,0.0,857.7,0.78,0.99,0,3,3,47049.92,4199.56,12,,,,,,,148,4338381.13,5211711.85,4,40062.6,143169.31,0.28,133843.87,150127.25,117336.44,125016.62,170512.13,142802.2,151638.18,167137.99,144640.69,132446.33,171177.14,128574.1,147470.96,137581.19,123038.39,153927.57,158521.17,169786.33,146686.43,125986.5,162397.07,158591.42,133832.5,140805.96,162731.46,117472.36,153031.97,115428.33,137518.24,139386.12,139256.58,150284.13,160435.42,130763.03,171369.58,140156.21,1.19,1.19,1.225,1068668.75,83512.79,1363038.24,5494722.13,1026343.13,True,0.76,24.5,2,True,3518460.1,Promising,Low,36,True
RJDTX3998I,True,23,0.0,5045,,2016-12-20,0,0.0,757.5,0.33,0.86,5,3,6,19994.72,34410.52,28,35386.98,22.0,18062.66,54.0,,,75,957686.24,1143829.08,2,13671.52,31757.38,0.43,26003.9,26550.18,30098.79,25857.82,35706.96,25608.03,37675.71,29032.77,33049.41,35029.04,28199.69,36803.84,36411.76,34632.45,34483.6,27857.28,36453.33,27287.94,25476.06,33463.34,30930.52,35544.36,37944.36,30706.51,36111.45,35849.32,35099.92,28146.35,29891.62,27313.76,29786.89,27528.94,30680.13,34716.16,36087.25,31809.64,1.17,1.238,1.175,258721.27,36630.78,356148.05,1277377.45,607328.45,True,0.79,19.1,4,True,4357193.98,Reactive,High,3,False
YHTVX3818L,False,30,0.0,5734,,2023-06-04,0,0.0,660.6,0.32,0.6,0,3,0,19834.78,43859.08,53,,,,,,,88,1241210.91,1518215.66,4,14228.72,42823.93,0.33,50368.95,45481.22,41704.56,48798.0,49538.58,50299.99,50652.03,39543.2,41655.73,36912.38,36059.63,45211.07,37807.61,38480.71,35581.31,38969.54,37675.0,50497.78,39002.64,34990.82,36706.91,49372.43,38467.56,35379.21,48977.01,39210.2,43916.1,40896.64,48025.33,40892.07,45882.73,41637.83,51352.01,38223.29,35380.8,34664.78,1.222,1.186,1.261,60956.27,74346.97,1315788.94,1626479.36,582831.1,True,0.89,8.8,3,True,9663040.96,Unstable,Medium,12,False
DGSLU8388K,True,5,0.0,5812,,2021-01-04,0,0.0,783.3,0.8,0.9,0,0,2,29723.92,48799.6,6,15135.06,24.0,28449.25,14.0,44497.15,31.0,151,2179132.35,2667034.16,1,12316.36,71604.27,0.17,84311.46,66535.12,85903.6,66952.78,80596.26,70424.27,76743.48,71624.66,70745.39,80679.12,73553.12,79252.43,83564.85,59442.17,76034.33,85515.57,65005.77,63333.67,68505.97,85599.52,75049.52,82520.33,69824.92,60802.87,79729.61,82156.46,85531.5,74002.47,58047.62,69884.1,63808.7,76159.52,81494.31,62900.05,81172.16,69626.46,1.236,1.214,1.222,404286.07,54195.02,297942.42,2686358.56,1379413.74,True,0.88,15.5,1,True,4468411.23,Stable,Low,36,True
VPIJR0381H,False,0,0.0,5734,,2024-01-24,0,0.0,815.2,0.43,0.89,5,10,4,35411.34,41231.43,47,7374.54,56.0,37546.36,38.0,44859.51,56.0,142,3169946.3,3853426.92,6,29255.0,110556.34,0.26,91241.2,118417.16,115415.59,114878.6,113648.98,99228.03,92396.62,96286.31,131380.79,100624.33,111141.18,117843.71,90761.42,110754.23,98412.86,119001.43,97121.77,101674.17,90781.2,123147.82,91564.29,132153.69,117316.27,116902.13,129374.28,103811.06,126262.03,90658.38,105382.03,94078.97,93014.68,111664.83,92776.22,95012.95,114451.53,104846.21,1.252,1.154,1.246,546138.97,604740.75,3298624.01,6679353.86,2272386.98,True,0.88,8.6,1,True,7399699.28,Reactive,High,1,False
MLJIC2676I,True,36,67880846.79,8011,"Varughese, Zachariah and Comar",2019-01-13,11,67226.42,790.8,0.65,1.0,0,3,4,232271.65,31943.37,49,46518.73,12.0,,,,,178,5689894.33,6941707.59,5,60724.46,196028.8,0.31,198390.05,217823.19,218360.72,170116.88,158705.87,163771.97,181886.94,187557.8,187760.45,233019.15,224356.07,175648.34,208397.21,172284.54,180002.78,213279.06,221511.03,177260.17,210017.39,160617.26,195756.92,202963.46,195190.92,186169.66,190121.61,223731.82,202748.1,177699.25,165317.1,196265.27,163839.92,175379.33,197012.54,192897.51,183614.76,232232.56,1.225,1.236,1.199,2331531.79,998808.39,3950588.84,11229791.02,756322.2,True,0.89,12.3,2,False,0.0,Promising,Low,36,True
HGLQJ4528C,True,3,0.0,8011,,2023-07-15,0,0.0,797.6,0.49,0.88,0,3,2,19226.94,24544.14,12,49837.32,41.0,40736.15,13.0,13842.82,43.0,57,6555316.99,7646261.03,2,58177.53,204443.15,0.28,230633.26,220976.77,230940.17,221258.16,208673.21,215909.77,225652.68,226264.09,241198.88,218632.3,221203.18,202055.63,190064.79,235342.44,214359.8,185305.54,176846.53,222027.79,201786.89,227717.09,202915.74,217380.15,214978.0,186116.05,229846.88,219455.18,195190.2,221629.46,203119.27,171092.6,229836.01,238731.64,183849.47,207167.12,234015.82,174088.45,1.203,1.178,1.119,1632376.85,503596.07,2248353.92,412349.45,1844740.65,True,0.73,4.7,2,False,0.0,Promising,Low,36,True
LVQIU4420I,True,18,0.0,5912,,2017-12-08,0,0.0,814.8,0.38,0.88,0,0,5,57866.74,7067.88,44,46150.7,21.0,31327.15,21.0,,,162,1786500.98,2128471.79,5,22133.81,60371.26,0.37,62653.91,54841.35,69432.72,58431.91,61065.13,72036.15,71126.48,51666.28,63233.44,66015.79,53402.76,64485.25,58705.87,54282.17,67946.54,59128.18,69573.71,59710.0,49438.96,56609.31,57853.96,49523.02,54202.05,69995.98,51468.92,66450.14,57388.5,55412.5,51909.61,53421.17,59129.28,56538.32,50779.55,54910.32,57012.11,58690.42,1.192,1.225,1.158,739617.24,241008.86,919653.73,6723658.56,2301655.27,True,0.92,23.9,2,True,9402277.05,Stable,Low,36,True
DKRTJ1805I,True,30,55662597.67,5912,"Pillay, Bora and Jani",2016-04-11,10,363451.36,645.4,0.53,0.56,4,5,1,145578.06,45426.22,40,5822.66,9.0,,,,,129,2965217.22,3571360.83,4,43513.62,95376.27,0.46,92937.06,94453.75,91980.44,113862.49,98046.05,107771.13,114351.89,95507.49,109116.81,104587.8,110505.23,113349.19,100137.71,98098.72,109479.47,86656.88,80615.94,109025.44,112634.48,94685.79,95131.39,91611.0,90559.58,88549.44,100896.28,109721.1,81790.05,80921.79,101496.83,99827.44,112725.6,92738.81,101343.11,84373.35,107110.62,94760.69,1.227,1.173,1.212,2109130.44,1071557.79,4338285.2,8861787.48,2686816.12,True,1.0,23.3,2,True,6888131.14,Reactive,High,4,False
KAGVH2813Q,True,33,20394800.63,5734,"Bose, Babu and Gara",2021-10-09,3,651826.7,812.6,0.69,0.98,0,2,6,212916.0,37445.86,47,12978.7,6.0,43857.85,26.0,9310.54,9.0,173,6078504.67,7381412.37,2,66424.26,204504.79,0.32,201394.78,203633.93,219316.47,206353.74,237103.54,230072.35,193749.44,232677.47,190703.64,188462.93,234843.03,207816.69,214541.2,239169.31,195596.66,170329.87,174631.13,197289.57,190249.27,229282.16,205517.33,196564.64,184378.81,243343.45,166205.94,206994.7,179943.52,228017.36,180948.39,179318.52,222350.7,180890.83,179113.56,241767.98,232248.61,196590.84,1.214,1.239,1.19,149195.11,654238.29,1565835.81,11296182.47,2957309.33,True,0.92,14.5,1,False,0.0,Promising,Low,36,True
QIEPG2811M,True,31,0.0,8011,,2023-03-14,0,0.0,733.4,0.39,0.73,0,1,2,33479.09,4267.45,7,23703.23,44.0,4215.12,44.0,29640.98,22.0,139,761989.55,928581.53,4,11848.68,26533.43,0.45,24052.07,21740.17,21394.43,28490.39,26446.28,26338.7,21373.27,21291.09,21894.79,31598.71,27048.51,29926.8,28167.13,28756.77,28832.89,23092.08,24363.5,30349.68,25230.68,29094.48,21441.86,29410.57,26748.4,21431.39,23983.08,28840.6,23824.17,22713.2,22176.13,22542.13,29239.21,28350.9,31426.28,25703.74,27967.07,23300.38,1.2,1.217,1.239,394540.65,73826.12,966269.44,806267.52,427633.36,True,0.83,7.2,5,True,9744134.95,Promising,Medium,12,False
NVGFV8962A,True,35,0.0,7011,,2022-08-09,0,0.0,721.6,0.6,0.67,0,2,6,18994.5,35334.46,56,32494.5,35.0,30990.08,39.0,,,74,1588038.62,1974645.0,4,25803.08,55725.63,0.46,47867.29,53758.74,50338.2,47067.77,65630.57,59754.11,60231.82,58417.87,49153.51,66484.26,55965.21,52317.48,53941.92,46706.2,63173.49,47073.5,58903.12,55348.47,58029.8,49871.19,45556.36,56291.86,50635.38,44998.47,46608.89,50241.53,50983.8,61270.72,55824.44,64599.11,63421.25,56544.77,50410.23,64379.3,62655.42,50188.93,1.226,1.234,1.27,42607.73,301959.88,1476452.6,2630796.19,340282.06,True,0.99,4.8,3,True,5733185.82,Promising,Medium,12,False
UFCVS2581O,True,24,0.0,8021,,2016-05-14,0,0.0,615.9,0.6,0.63,0,1,0,29807.84,33945.49,16,,,,,,,103,958398.95,1166134.26,5,21153.67,32320.06,0.65,36218.4,34728.83,29421.2,26007.72,31913.85,37478.86,33707.61,32537.86,27276.8,35880.87,33577.07,32629.07,36766.41,26220.39,32252.59,29692.35,34696.6,28378.29,36801.12,34361.53,33681.02,38368.98,32332.97,36952.12,26927.95,30610.25,27925.76,29194.1,30747.45,26532.26,35164.96,37493.67,35068.78,32467.27,35618.51,26500.81,1.253,1.168,1.235,339235.07,223994.7,716760.18,1416979.68,274059.11,False,0.6,1.7,8,True,7195380.76,Unstable,Medium,12,False
YDAAQ7975T,True,13,0.0,5045,,2017-04-10,0,0.0,480.5,0.72,0.79,0,1,5,32203.47,45355.95,17,,,,,,,56,1376899.84,1662811.73,2,47598.06,45107.74,1.06,40443.85,37557.4,47263.01,42999.46,47922.98,38925.54,47753.47,52731.99,49657.49,40816.83,53457.53,44318.93,49965.05,52871.85,46652.1,39317.04,48273.68,46413.57,51363.31,39802.46,49846.44,36704.55,36723.7,51748.38,50839.54,48464.55,37442.91,52363.28,48939.01,51318.61,45270.46,48736.41,46112.27,53210.84,50131.41,36451.84,1.233,1.221,1.173,145594.35,60147.53,144934.31,1318119.61,487328.25,True,0.67,5.0,7,False,0.0,Unstable,High,6,False
CARSA5282R,True,17,0.0,5999,,2016-10-25,0,0.0,648.4,0.32,0.47,0,0,0,36616.84,31763.69,23,4621.22,18.0,18382.45,8.0,,,54,1347779.01,1625559.88,3,30825.56,45828.47,0.67,37444.27,52657.66,54712.5,47215.97,42112.26,41917.76,54444.19,39512.9,48779.76,39808.77,43321.5,38535.93,38102.31,46309.04,54528.05,37477.37,43563.82,50164.0,37750.66,44900.28,53796.26,41784.74,41648.16,53164.7,39747.81,53835.55,53502.7,39753.65,37234.93,50548.26,39150.17,48816.25,42911.28,40152.07,42106.29,54148.04,1.209,1.215,1.194,289154.57,157449.34,715855.28,1073411.1,349834.29,False,0.38,18.5,3,True,8335573.49,Stable,Medium,12,False
IATKX7165I,True,3,0.0,5734,,2016-04-29,0,0.0,822.4,0.46,0.94,0,0,2,21127.47,36152.96,6,20971.51,11.0,40044.66,10.0,44901.59,40.0,31,3851623.76,4672278.83,6,21068.46,125503.66,0.17,130476.03,126038.25,144532.23,143201.71,115762.86,106540.95,118975.36,138918.19,118269.49,137639.05,124292.1,141338.67,130320.03,124659.59,147386.55,146955.74,143580.54,136672.62,102179.9,149974.29,119195.89,130120.71,108391.15,149203.98,133893.44,123421.11,149294.88,106684.27,137449.96,145135.91,137549.77,112026.78,136689.44,129201.06,102601.17,123705.16,1.197,1.244,1.199,176252.9,82782.41,2775176.25,3600192.33,2438848.26,True,0.85,18.3,0,True,6548236.08,Stable,Low,36,True
DCNIC3939B,False,5,0.0,5411,,2017-02-12,0,0.0,783.4,0.71,0.95,0,1,3,11488.74,44295.07,25,5496.12,58.0,45758.29,15.0,,,65,4181898.3,5115442.6,6,53762.9,140332.91,0.38,141122.67,134013.44,159914.57,156162.16,124281.49,164415.36,138680.55,166194.56,149444.47,156064.98,164735.39,132299.54,151193.82,160287.62,145704.41,129575.06,117092.23,158010.36,144509.58,134538.83,124975.59,128667.41,158392.36,116958.78,132270.03,117782.12,168068.05,147852.24,121668.35,164771.89,112339.3,163487.73,117871.26,136238.19,158384.27,117473.93,1.276,1.168,1.228,704661.62,18468.27,1247046.18,46458.66,1453069.53,True,0.76,14.7,0,True,6684054.38,Promising,Low,36,True
DOOKL0565I,True,16,0.0,5812,,2022-02-08,0,0.0,756.5,0.72,0.87,0,2,0,30319.68,49127.16,28,38988.76,60.0,,,,,74,1990774.17,2439385.5,4,19040.69,65147.74,0.29,57006.55,60990.52,77927.25,67051.22,77145.38,57819.18,65877.18,69411.8,61450.66,58388.04,59037.83,57848.9,76123.17,63703.23,73779.21,77706.57,76393.2,73894.5,71103.01,76330.5,63263.54,63667.06,67356.28,64853.61,70687.86,63926.24,69344.12,70870.61,64359.76,71549.49,68658.07,73477.71,75432.57,69297.78,60819.55,62833.33,1.293,1.201,1.192,471851.46,273762.24,1520324.94,1799011.78,537020.51,True,0.72,17.4,4,True,1907330.36,Promising,Low,36,True
AAXPK4955F,True,26,0.0,5812,,2021-02-18,0,0.0,836.7,0.32,0.85,0,0,1,33404.98,10204.29,43,20124.22,44.0,16436.59,12.0,7721.92,49.0,121,3800533.0,4704347.91,5,36637.72,126787.24,0.29,107929.65,146288.39,148292.42,136960.57,145936.44,115987.71,143823.64,124962.78,105375.84,136909.2,114697.48,125816.16,142328.19,141350.38,146779.87,117285.43,149470.84,146006.59,114105.22,118797.84,115333.75,118246.32,106518.84,150287.1,150880.22,114260.2,123135.66,147340.96,148594.42,105656.71,127083.97,136495.78,123106.6,120669.57,146643.77,140989.39,1.248,1.235,1.231,382533.47,117473.41,2022185.05,2045689.88,2152319.98,True,0.85,14.1,0,True,7585892.47,Stable,Low,36,True
GAMRB8501D,True,35,0.0,5812,,2015-10-03,0,0.0,775.9,0.78,0.97,0,3,1,25700.07,11735.99,26,23934.66,9.0,32712.24,35.0,,,156,2118876.43,2547211.42,2,17135.2,69735.43,0.25,68356.66,67386.75,80999.52,75434.88,74869.64,68505.39,80555.4,62150.0,69291.19,72313.74,67589.19,60099.99,64815.59,70409.8,60973.82,69585.63,70307.16,64127.62,81993.41,62021.29,72441.26,66449.73,69942.1,73746.14,77531.08,73936.99,82016.88,79529.27,77540.66,72950.51,62586.28,66945.13,67910.85,64910.52,69850.55,77136.78,1.213,1.206,1.188,793202.39,740839.43,3542098.57,3469989.83,2328104.42,True,0.95,11.4,2,True,7622473.76,Promising,Low,36,True
FUPVQ9628J,True,16,0.0,5045,,2024-03-01,0,0.0,511.8,0.3,0.65,3,6,6,29922.6,44309.83,57,,,,,,,34,594083.14,708029.9,5,17457.85,19193.04,0.91,18638.12,17655.78,21576.94,22265.59,15753.52,18565.89,18188.73,21044.33,21360.19,22552.28,18252.98,19662.54,19290.44,21336.12,20771.81,19420.43,21978.11,17643.3,20323.4,16170.5,16204.78,15809.04,17492.06,20505.44,17508.88,20421.47,18305.41,21223.45,21904.69,22176.54,18158.82,18800.36,21677.31,22129.67,21785.33,21475.67,1.213,1.179,1.184,30255.33,84415.83,35176.35,190600.47,460809.34,False,0.45,16.9,8,True,5217849.26,Reactive,High,4,False
PMUVM4666Y,True,29,0.0,7011,,2021-04-17,0,0.0,852.1,0.53,0.96,0,1,0,53870.36,15032.85,46,7172.41,8.0,,,,,78,3392215.79,4133775.86,1,35326.18,117383.16,0.3,117274.06,128448.11,106206.46,100326.4,112446.81,109532.88,127325.35,129339.63,104236.7,99530.5,124031.07,133351.46,123707.75,102210.7,121865.18,104765.47,130414.34,98430.06,127461.67,104842.59,112499.43,105220.65,96850.77,97258.95,122570.83,98353.05,100586.38,133638.45,127647.57,107076.71,130511.2,133526.01,119265.25,107822.54,121497.99,113702.87,1.205,1.206,1.244,1051586.14,238263.68,223418.92,3838444.53,1106855.75,True,0.86,14.0,0,True,9740800.93,Promising,Low,36,True
WIYOU1463Z,True,31,93354693.15,5912,Ravel LLC,2022-10-16,7,853637.77,616.9,0.69,0.73,0,1,4,37857.38,36657.76,47,49117.44,41.0,10966.45,54.0,,,20,14700646.44,17639515.94,3,179345.65,496885.73,0.36,553973.05,468381.42,426336.31,407835.13,472986.96,422974.51,463196.17,587142.01,462365.48,424698.5,571091.38,412502.26,402238.4,546616.92,570063.25,518134.19,399838.62,452376.41,399821.17,415601.1,573919.22,539776.24,487429.73,470896.14,540851.92,488958.59,596166.87,549854.52,483057.06,556188.98,487434.93,410251.76,420980.69,553603.59,538704.46,563267.99,1.193,1.221,1.187,2188851.21,578056.2,6365938.08,12060249.88,691833.53,True,0.95,5.9,0,True,6530168.23,Unstable,Medium,12,False
QSXYI7633N,True,17,0.0,5734,,2019-05-12,0,0.0,735.8,0.37,0.54,0,2,5,19619.79,44004.85,12,,,,,,,74,824036.47,980195.11,6,15571.89,27429.35,0.57,25430.51,28815.24,25333.65,25973.05,31859.29,24158.32,28462.39,32212.33,24345.88,32068.21,31691.22,29977.66,23064.73,27077.8,24269.63,22573.36,22533.18,25219.51,24998.13,29239.68,32852.34,25564.15,23268.6,22969.25,27528.26,28087.46,26111.59,32758.66,30235.77,32559.43,26496.01,27303.73,28579.12,27265.46,25880.86,23430.63,1.153,1.249,1.177,97028.67,117035.91,614842.47,1212169.3,840203.12,True,0.76,14.7,2,False,0.0,Promising,Medium,12,False
